symbol,open,high,low,close,volume,trade_count,vwap,strong_positive
BTC/USD,37102.75,39699.95,37070.01,39051.0,1153.670297,55838.0,38439.0877929464,0.0
BTC/USD,39054.2,41019.93,38000.0,38571.85,1238.672877,63997.0,39759.6085362744,1.0
BTC/USD,38565.36,39736.17,37383.51,38700.0,932.225474,46244.0,38455.8146087919,1.0
BTC/USD,38712.8,47500.0,38658.96,46964.37,2876.161989,91292.0,44010.7643101578,1.0
BTC/USD,46957.6,48203.13,45040.0,46166.35,1420.610386,59671.0,46688.8856975675,1.0
BTC/USD,46168.8,47371.09,43750.0,44675.1,1361.970634,75486.0,45149.5100956754,1.0
BTC/USD,47960.94,48997.7,46285.0,48938.82,804.437966,50609.0,47401.9828129884,1.0
BTC/USD,48942.87,49730.0,45691.42,46773.29,1209.900633,58594.0,48092.3803525264,1.0
BTC/USD,46765.0,49975.0,46727.34,49185.11,1035.488307,50751.0,48356.0764758609,1.0
BTC/USD,52194.82,52278.77,50732.0,51506.26,1033.457996,47199.0,51582.939694832,1.0
BTC/USD,51512.1,56615.62,51487.36,55683.65,1706.062977,68586.0,54712.9769557792,0.0
BTC/USD,55894.74,56640.28,47303.68,49950.09,2826.614714,91474.0,52444.3479411674,0.0
BTC/USD,44821.68,46999.68,43020.0,46235.25,1329.783722,40946.0,44785.2471060397,0.0
BTC/USD,55241.5,58172.9,54275.5,57182.06,991.725718,39534.0,56922.2464984086,1.0
BTC/USD,57166.16,57737.63,55051.0,56764.86,843.906824,32803.0,56631.3602133575,1.0
BTC/USD,57310.2,59499.0,56819.12,58807.07,618.376235,32945.0,58521.102992212,0.0
BTC/USD,58807.07,59000.0,57215.98,57637.49,720.147641,39888.0,58013.6719348533,0.0
BTC/USD,57646.46,58629.96,55437.11,56907.02,1478.267739,58616.0,56613.783071826,0.0
BTC/USD,56903.0,58400.0,56349.51,58193.36,617.531782,34513.0,57600.0586868357,0.0
BTC/USD,58193.36,61171.56,57647.49,61010.95,848.30995,41227.0,58883.4831819736,0.0
BTC/USD,61010.95,61250.0,58301.85,59868.55,876.234976,40666.0,60063.990386909,1.0
BTC/USD,59861.83,60568.65,59160.77,60051.19,498.996196,29347.0,59751.4238166618,0.0
BTC/USD,60079.24,61210.99,59362.91,60517.63,969.46444,44072.0,60263.121956336,0.0
BTC/USD,62269.52,62500.0,51722.01,55000.0,1772.171548,83598.0,58035.2438698969,1.0
BTC/USD,55000.0,57401.64,53150.39,57052.0,2484.20005,96172.0,55443.8066456326,0.0
BTC/USD,57052.0,57600.0,53520.66,55319.44,2420.555737,88292.0,55529.4379322257,1.0
BTC/USD,55320.0,57117.1,53415.7,55431.8,2014.26823,85035.0,55753.2275976146,0.0
BTC/USD,55431.79,56379.97,52600.0,54266.55,1701.800968,83303.0,54726.7806786391,0.0
BTC/USD,54276.69,55459.57,48500.0,49147.47,2739.831835,111778.0,52294.1996076741,1.0
BTC/USD,49132.2,51366.08,47475.0,50480.93,1910.420791,89916.0,49688.6340006587,1.0
BTC/USD,50473.23,51079.24,48721.97,49656.48,1016.284477,51532.0,50001.4303284686,1.0
BTC/USD,38426.0,39729.52,36497.88,39440.94,2286.924128,119471.0,38061.7223553747,1.0
BTC/USD,39427.86,40878.61,37195.49,37780.18,2768.343992,111576.0,39039.2451946449,1.0
BTC/USD,37788.05,40425.27,37292.94,37367.39,2137.787424,94227.0,38844.0893913513,1.0
BTC/USD,37357.7,37600.88,34711.85,35735.61,3810.201591,132806.0,36143.8405998229,0.0
BTC/USD,35728.19,37307.84,33428.38,34754.31,3191.975308,119590.0,34761.0924263192,0.0
BTC/USD,35806.71,36121.12,33343.97,34235.0,2257.007939,84982.0,34696.590792778,0.0
BTC/USD,34235.0,34554.62,31139.62,32637.33,4929.400458,128507.0,32538.3208830371,0.0
BTC/USD,32607.83,34393.19,28810.0,33822.39,5373.792731,102194.0,31674.4630464843,0.0
BTC/USD,33820.24,34835.26,32326.88,32550.98,2555.081469,87708.0,33588.6126404939,0.0
